País,Estado,Geocodigo,Município,Mesoregião,Regional de Saúde,População 2016,População 2017,População 2018,População 2019,População 2020,População 2021,População 2022
Brasil,PI,220005,Acauã,Sudeste Piauiense,Vale Do Rio Guaribas,7027,7045,7065,7084,7102,7119,7119
Brasil,PI,220010,Agricolândia,Centro-Norte Piauiense,Entre Rios,5165,5157,5148,5139,5131,5123,5123
Brasil,PI,220020,Água Branca,Centro-Norte Piauiense,Entre Rios,17224,17284,17349,17411,17470,17525,17525
Brasil,PI,220025,Alagoinha do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,7607,7621,7636,7651,7665,7678,7678
Brasil,PI,220027,Alegrete do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,4905,4909,4912,4915,4918,4921,4921
Brasil,PI,220030,Alto Longá,Centro-Norte Piauiense,Entre Rios,14195,14230,14268,14304,14339,14371,14371
Brasil,PI,220040,Altos,Centro-Norte Piauiense,Entre Rios,40269,40351,40440,40524,40605,40681,40681
Brasil,PI,220045,Alvorada do Gurguéia,Sudoeste Piauiense,Chapada Das Mangabeiras,5337,5363,5392,5419,5445,5469,5469
Brasil,PI,220050,Amarante,Centro-Norte Piauiense,Entre Rios,17580,17586,17592,17598,17604,17609,17609
Brasil,PI,220060,Angical do Piauí,Centro-Norte Piauiense,Entre Rios,6802,6797,6792,6788,6783,6779,6779
Brasil,PI,220070,Anísio de Abreu,Sudoeste Piauiense,Serra Da Capivara,9694,9754,9818,9880,9938,9994,9994
Brasil,PI,220080,Antônio Almeida,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,3147,3152,3158,3164,3170,3175,3175
Brasil,PI,220090,Aroazes,Centro-Norte Piauiense,Vale Do Sambito,5862,5853,5844,5835,5827,5819,5819
Brasil,PI,220095,Aroeiras do Itaim,Sudeste Piauiense,Vale Do Rio Guaribas,2551,2551,2551,2551,2551,2551,2551
Brasil,PI,220100,Arraial,Centro-Norte Piauiense,Vale Dos Rios Piauì E Itaueiras,4751,4743,4735,4727,4720,4713,4713
Brasil,PI,220105,Assunção do Piauí,Centro-Norte Piauiense,Carnaubais,7792,7810,7828,7846,7863,7879,7879
